Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
BLKC,541,0,0.00,5,21.00,28.40,541,0
BOCT,540,0,0.00,0,0.00,43.78,540,0
FNOV,528,0,0.00,0,0.00,48.45,528,0
UNOV,525,0,0.00,0,0.00,34.87,525,0
GDMN,522,0,0.00,2,31.14,31.68,522,0
KJAN,520,0,0.00,0,0.00,39.48,520,0
FFEB,515,0,0.00,0,0.00,49.88,515,0
EALT,513,0,0.00,0,0.00,32.94,513,0
RSBY,508,0,0.00,0,0.00,18.71,508,0
DSCF,501,8,24.24,10,22.25,23.10,501,0
IBMO,501,5,28.00,0,0.00,25.57,501,0
DECP,500,0,0.00,0,0.00,26.90,500,0
DSEP,500,0,0.00,0,0.00,40.78,500,0
TFJL,500,0,0.00,0,0.00,20.25,100,400
MAGA,499,0,0.00,0,0.00,55.15,499,0
GOLY,487,80,25.75,0,0.00,24.89,487,0
QUVU,474,0,0.00,0,0.00,27.09,474,0
WBAT,466,0,0.00,0,0.00,28.39,466,0
DAUG,462,0,0.00,0,0.00,39.99,462,0
SVAL,457,0,0.00,10,31.00,35.73,457,0
VFQY,457,3,150.80,16,129.56,149.13,457,0
PMAR,450,0,0.00,0,0.00,40.17,450,0
IGHG,449,0,0.00,0,0.00,78.02,449,0
TMFG,449,4,40.00,100,32.50,33.59,449,0
FJUL,446,0,0.00,0,0.00,49.50,446,0
GTIP,445,1,60.00,0,0.00,49.16,445,0
JUCY,442,100,23.41,100,22.88,22.98,442,0
BAMA,440,0,0.00,0,0.00,31.38,439,1
OVL,428,0,0.00,0,0.00,48.51,428,0
IBMP,427,0,0.00,25,25.00,25.33,427,0
FBCV,425,0,0.00,0,0.00,34.18,425,0
FDRV,423,4,14.00,1,12.93,13.11,423,0
GAUG,422,0,0.00,0,0.00,35.47,422,0
BSEP,416,0,0.00,0,0.00,42.26,316,100
COPA,400,0,0.00,0,0.00,25.02,400,0
HIYS,400,0,0.00,0,0.00,25.74,400,0
MSFY,398,0,0.00,100,25.00,25.71,398,0
PSEP,368,0,0.00,0,0.00,39.37,269,99
ROMO,368,0,0.00,0,0.00,32.63,368,0
OMFS,356,0,0.00,10,43.64,43.76,263,93
BGLD,355,0,0.00,0,0.00,23.07,355,0
FFOG,353,0,0.00,0,0.00,39.71,353,0
FMAR,351,0,0.00,0,0.00,43.49,351,0
EMGF,344,0,0.00,2,45.29,47.22,344,0
ENOR,343,0,0.00,0,0.00,24.18,343,0
TTAC,338,0,0.00,0,0.00,70.08,338,0
USEP,337,0,0.00,0,0.00,35.46,337,0
OCTM,334,0,0.00,0,0.00,30.57,334,0
TOLL,332,0,0.00,0,0.00,34.01,332,0
ZALT,330,0,0.00,0,0.00,29.95,330,0
BAMD,325,0,0.00,0,0.00,34.59,325,0
ARKZ,323,0,0.00,50,27.00,40.61,323,0
TMFM,322,0,0.00,0,0.00,33.20,322,0
DUSA,321,0,0.00,0,0.00,44.95,321,0
GMOM,320,0,0.00,0,0.00,30.50,320,0
NJUL,317,0,0.00,0,0.00,62.48,317,0
IYLD,310,104,23.50,0,0.00,20.19,310,0
BWTG,308,0,0.00,60,34.17,35.80,308,0
BUSA,307,0,0.00,20,31.75,33.98,307,0
HELX,305,0,0.00,0,0.00,31.10,305,0
HEEM,301,0,0.00,0,0.00,27.51,301,0
BBEM,300,0,0.00,0,0.00,52.41,100,200
NUDV,300,0,0.00,0,0.00,30.92,300,0
OVF,300,0,0.00,0,0.00,24.77,300,0
PAUG,300,0,0.00,0,0.00,38.78,300,0
PIEQ,300,0,0.00,0,0.00,24.64,300,0
FDEC,295,0,0.00,0,0.00,44.65,295,0
TRTY,294,0,0.00,10,24.20,26.37,294,0
WUGI,292,59,80.00,0,0.00,74.40,292,0
AMZP,289,0,0.00,0,0.00,30.31,289,0
OGIG,286,1,47.85,10,44.85,47.32,286,0
HCRB,274,0,0.00,0,0.00,35.24,274,0
ARKY,272,0,0.00,1,34.00,39.88,272,0
DURA,268,0,0.00,0,0.00,35.06,168,100
GSEE,267,0,0.00,0,0.00,45.00,267,0
XBJA,250,0,0.00,0,0.00,28.64,250,0
GLOV,245,0,0.00,0,0.00,51.76,245,0
PNOV,244,0,0.00,0,0.00,38.19,244,0
KNOV,242,0,0.00,0,0.00,26.29,242,0
GHYG,241,0,0.00,0,0.00,45.00,241,0
TJUL,234,0,0.00,0,0.00,27.74,234,0
TDV,229,0,0.00,10,75.36,77.86,229,0
IBHK,228,0,0.00,0,0.00,25.89,228,0
PMAY,220,0,0.00,0,0.00,35.94,220,0
BALI,218,0,0.00,12,30.54,31.49,218,0
TGLR,213,0,0.00,0,0.00,31.05,213,0
FJUN,210,0,0.00,0,0.00,52.03,210,0
PSMD,206,0,0.00,0,0.00,29.13,206,0
KOCT,204,0,0.00,0,0.00,31.66,110,94
QBER,204,0,0.00,0,0.00,24.96,204,0
TILT,204,0,0.00,1,198.00,226.44,204,0
QSIG,203,0,0.00,0,0.00,48.38,203,0
QMAR,202,0,0.00,0,0.00,29.68,202,0
DJUL,200,0,0.00,0,0.00,42.42,200,0
HSBH,200,0,0.00,0,0.00,53.22,200,0
KAUG,200,0,0.00,0,0.00,26.26,100,100
KSEP,200,0,0.00,0,0.00,26.62,200,0
MVAL,200,0,0.00,0,0.00,34.35,200,0
SFEB,200,0,0.00,0,0.00,22.45,200,0
UDEC,200,0,0.00,0,0.00,35.48,200,0
GDE,190,0,0.00,29,36.60,38.46,190,0
GJUN,190,0,0.00,0,0.00,36.28,190,0
JANZ,185,0,0.00,1,32.41,35.99,185,0
IVRA,179,0,0.00,1,16.85,17.25,179,0
BRLN,177,500,52.90,48,52.38,52.80,177,0
IEDI,172,0,0.00,1,54.50,55.80,172,0
ARKA,160,1,71.00,1,50.00,66.42,160,0
IBMS,156,0,0.00,0,0.00,25.70,156,0
LQDI,156,0,0.00,0,0.00,26.26,156,0
DFNL,152,0,0.00,0,0.00,41.40,152,0
PWS,144,0,0.00,4,28.82,31.57,144,0
BUFG,142,0,0.00,0,0.00,24.81,142,0
PEX,135,0,0.00,50,23.38,29.07,135,0
BAMB,130,0,0.00,0,0.00,25.94,130,0
USMF,130,6,56.00,0,0.00,52.67,130,0
DAPR,127,0,0.00,0,0.00,37.20,127,0
UMAY,126,0,0.00,0,0.00,33.73,126,0
BUFT,124,0,0.00,0,0.00,22.40,124,0
ESG,124,0,0.00,0,0.00,141.97,124,0
OVM,115,0,0.00,0,0.00,22.57,115,0
SNPG,115,0,0.00,0,0.00,45.75,115,0
BJAN,114,0,0.00,0,0.00,47.64,114,0
SEIV,114,0,0.00,0,0.00,34.94,114,0
AZNH,111,0,0.00,0,0.00,45.16,111,0
OCTU,111,0,0.00,0,0.00,25.86,111,0
UJUN,111,0,0.00,0,0.00,34.00,111,0
AAPR,110,0,0.00,0,0.00,26.44,35,75
LKOR,110,0,0.00,0,0.00,44.23,110,0
FLQS,109,0,0.00,0,0.00,45.67,109,0
AESR,108,0,0.00,0,0.00,17.79,108,0
UOCT,104,0,0.00,0,0.00,35.56,104,0
TMDV,103,0,0.00,0,0.00,51.62,103,0
BAPR,102,0,0.00,0,0.00,44.88,102,0
OVT,102,0,0.00,0,0.00,22.47,102,0
XAUG,102,0,0.00,0,0.00,34.25,102,0
OVB,101,0,0.00,0,0.00,21.06,101,0
ADME,100,0,0.00,0,0.00,47.90,100,0
BINV,100,0,0.00,0,0.00,30.40,100,0
FCTR,100,0,0.00,0,0.00,35.11,100,0
GDMA,100,0,0.00,0,0.00,33.12,100,0
GJAN,100,0,0.00,0,0.00,38.48,100,0
MFUL,100,0,0.00,0,0.00,22.16,100,0
TBJL,100,0,0.00,0,0.00,20.37,100,0
OCTH,95,0,0.00,0,0.00,24.27,95,0
JULH,92,0,0.00,0,0.00,25.29,92,0
FMAY,90,0,0.00,0,0.00,47.84,90,0
BAMO,89,0,0.00,0,0.00,30.91,89,0
ESGG,85,7,178.00,0,0.00,173.36,85,0
IVVW,84,0,0.00,0,0.00,48.26,44,40
GUNZ,83,0,0.00,5,30.57,29.54,83,0
JULZ,82,0,0.00,0,0.00,43.97,82,0
CMCI,80,0,0.00,0,0.00,25.13,80,0
BKGI,78,0,0.00,0,0.00,32.20,78,0
SEPZ,77,0,0.00,0,0.00,40.39,77,0
JULJ,72,0,0.00,0,0.00,25.18,72,0
MARZ,72,0,0.00,100,33.31,33.51,72,0
OCTJ,71,0,0.00,0,0.00,24.20,71,0
BJUN,68,0,0.00,0,0.00,41.89,68,0
BBSB,65,0,0.00,0,0.00,95.49,65,0
UJAN,64,0,0.00,0,0.00,38.66,64,0
HAUS,61,0,0.00,1,17.00,20.32,61,0
YDEC,60,0,0.00,0,0.00,23.33,60,0
BAMG,58,0,0.00,0,0.00,35.51,58,0
FIBR,55,0,0.00,0,0.00,87.74,55,0
DDEC,50,0,0.00,0,0.00,40.16,50,0
HSUN,49,0,0.00,0,0.00,35.01,49,0
SHAG,45,0,0.00,0,0.00,47.46,45,0
QBUL,43,0,0.00,0,0.00,25.40,43,0
BMAY,42,0,0.00,0,0.00,40.44,42,0
EAOK,42,1,27.15,0,0.00,26.19,42,0
FFEM,42,0,0.00,0,0.00,24.77,42,0
NNOV,42,0,0.00,0,0.00,25.73,42,0
PSFD,41,0,0.00,0,0.00,32.94,41,0
XDEC,39,0,0.00,0,0.00,37.17,39,0
OVS,38,0,0.00,0,0.00,38.83,38,0
ARKC,37,0,0.00,0,0.00,43.25,37,0
BMAR,37,0,0.00,0,0.00,46.41,37,0
PBTP,35,0,0.00,0,0.00,25.54,35,0
KWT,34,0,0.00,1,31.75,32.69,34,0
QCAP,34,0,0.00,0,0.00,22.02,34,0
XBOC,34,0,0.00,0,0.00,29.62,34,0
IVVM,33,0,0.00,0,0.00,31.31,33,0
OBND,32,0,0.00,0,0.00,26.20,32,0
JAND,31,0,0.00,0,0.00,25.05,31,0
JULD,31,0,0.00,0,0.00,25.43,31,0
XJUL,31,0,0.00,0,0.00,35.75,31,0
EGUS,29,0,0.00,0,0.00,43.96,29,0
KAPR,29,0,0.00,0,0.00,34.28,29,0
PSFJ,29,0,0.00,0,0.00,29.41,29,0
PSFM,27,0,0.00,0,0.00,29.88,27,0
STBF,27,0,0.00,0,0.00,25.36,27,0
DFNV,26,0,0.00,0,0.00,37.06,26,0
FSEP,26,0,0.00,0,0.00,46.21,26,0
QDEC,26,0,0.00,0,0.00,27.58,26,0
GJUL,25,0,0.00,0,0.00,36.89,25,0
JANQ,25,0,0.00,0,0.00,24.90,25,0
BUYZ,23,10,39.00,1,30.00,38.53,23,0
ZSEP,23,0,0.00,0,0.00,25.08,23,0
ETQ,22,1100,9.81,1100,9.18,9.50,22,0
GMAY,22,0,0.00,0,0.00,37.12,22,0
IMSI,22,0,0.00,0,0.00,51.55,22,0
MIG,21,0,0.00,0,0.00,21.63,21,0
NJAN,20,0,0.00,0,0.00,47.68,20,0
RYSE,20,0,0.00,0,0.00,23.54,20,0
AFIF,19,0,0.00,1,8.88,9.20,19,0
DWAT,18,0,0.00,0,0.00,12.01,18,0
XSEP,18,0,0.00,0,0.00,39.06,17,1
DECZ,17,0,0.00,0,0.00,38.61,17,0
FFLV,17,0,0.00,0,0.00,23.42,17,0
QLC,15,0,0.00,0,0.00,68.07,15,0
FDCE,14,0,0.00,0,0.00,13.40,14,0
SNPV,14,0,0.00,0,0.00,33.81,14,0
XDAP,13,0,0.00,0,0.00,35.65,13,0
CVAR,12,0,0.00,0,0.00,27.85,12,0
XVOL,12,0,0.00,0,0.00,24.18,12,0
ESGX,11,0,0.00,1,26.29,26.60,11,0
EUDV,11,0,0.00,0,0.00,48.60,11,0
FDGR,11,0,0.00,0,0.00,13.95,11,0
MGRO,11,0,0.00,3,30.67,31.63,11,0
UMAR,11,0,0.00,0,0.00,35.74,11,0
NURE,9,0,0.00,0,0.00,34.61,9,0
QSPT,9,0,0.00,0,0.00,27.50,9,0
SEIQ,9,0,0.00,0,0.00,36.51,9,0
APRJ,8,0,0.00,0,0.00,24.94,8,0
TAIL,8,0,0.00,0,0.00,11.37,8,0
XDOC,8,0,0.00,0,0.00,30.72,8,0
FDVL,7,0,0.00,0,0.00,13.58,7,0
AJUL,6,0,0.00,0,0.00,27.03,6,0
MOTG,6,0,0.00,0,0.00,39.65,6,0
QMAG,6,0,0.00,0,0.00,20.85,6,0
STOT,6,0,0.00,0,0.00,47.18,6,0
DJAN,5,0,0.00,0,0.00,38.88,5,0
FDHT,5,0,0.00,0,0.00,21.55,5,0
LEAD,5,0,0.00,0,0.00,70.99,5,0
RTAI,5,0,0.00,0,0.00,22.50,5,0
XDAT,5,0,0.00,1,25.25,27.11,5,0
BAMV,4,0,0.00,0,0.00,33.13,4,0
DOCT,4,0,0.00,0,0.00,39.75,4,0
OCTD,4,0,0.00,0,0.00,24.38,4,0
OCTQ,4,0,0.00,0,0.00,24.07,4,0
QCOC,4,0,0.00,0,0.00,20.08,4,0
AAPY,3,0,0.00,0,0.00,27.87,3,0
IPDP,3,0,0.00,0,0.00,21.73,3,0
SNPD,3,0,0.00,0,0.00,28.25,3,0
XISE,3,0,0.00,0,0.00,30.00,3,0
DFEB,2,0,0.00,0,0.00,42.75,2,0
DFND,2,1,43.07,0,0.00,42.52,2,0
EVLU,2,0,0.00,0,0.00,24.61,2,0
GAPR,2,0,0.00,0,0.00,37.48,2,0
IQM,2,0,0.00,3757,17.83,67.75,2,0
LIAX,2,0,0.00,0,0.00,27.46,2,0
MOTE,2,0,0.00,0,0.00,29.99,2,0
PIT,2,0,0.00,0,0.00,48.35,2,0
PSCW,2,0,0.00,0,0.00,26.56,2,0
XDJL,2,0,0.00,0,0.00,35.09,2,0
XJR,2,0,0.00,1,37.00,44.97,2,0
ACSI,1,0,0.00,1,61.55,62.50,1,0
AJAN,1,0,0.00,0,0.00,26.58,1,0
BEMB,1,0,0.00,1,51.59,53.04,1,0
BFEB,1,0,0.00,0,0.00,42.95,1,0
BLDG,1,0,0.00,0,0.00,27.08,1,0
DFRA,1,0,0.00,0,0.00,32.42,1,0
DWCR,1,0,0.00,0,0.00,29.14,1,0
EAOA,1,0,0.00,2,31.86,36.90,1,0
FUNL,1,0,0.00,0,0.00,44.84,1,0
GPOW,1,0,0.00,0,0.00,56.98,1,0
ISVL,1,0,0.00,0,0.00,35.91,1,0
JANJ,1,0,0.00,0,0.00,25.14,1,0
LBO,1,0,0.00,100,32.70,34.46,1,0
MBBB,1,0,0.00,0,0.00,21.72,1,0
NOVZ,1,0,0.00,0,0.00,41.97,1,0
NSEP,1,0,0.00,0,0.00,25.55,1,0
NULC,1,0,0.00,0,0.00,48.75,1,0
PSMJ,1,0,0.00,0,0.00,28.65,1,0
QIG,1,0,0.00,0,0.00,44.90,1,0
RPHS,1,0,0.00,0,0.00,10.67,1,0
TUSI,1,0,0.00,0,0.00,25.35,1,0
XDJA,1,0,0.00,0,0.00,29.78,1,0
XDQQ,1,0,0.00,0,0.00,33.64,1,0
APRD,0,0,0.00,0,0.00,0.00,0,0
APRH,0,1,29.44,5,24.00,0.00,0,0
APRP,0,0,0.00,0,0.00,0.00,0,0
APRQ,0,0,0.00,0,0.00,0.00,0,0
APRZ,0,0,0.00,0,0.00,0.00,0,0
ARCM,0,0,0.00,0,0.00,0.00,0,0
ARLU,0,0,0.00,0,0.00,0.00,0,0
AUGM,0,0,0.00,0,0.00,0.00,0,0
AUGP,0,0,0.00,0,0.00,0.00,0,0
AUGU,0,0,0.00,0,0.00,0.00,0,0
AUGZ,0,0,0.00,0,0.00,0.00,0,0
BAMU,0,0,0.00,0,0.00,0.00,0,0
BAUG,0,0,0.00,0,0.00,0.00,0,0
BHYB,0,0,0.00,0,0.00,0.00,0,0
BSMC,0,0,0.00,0,0.00,0.00,0,0
BUFP,0,0,0.00,0,0.00,0.00,0,0
CNAV,0,0,0.00,0,0.00,0.00,0,0
CPSL,0,0,0.00,0,0.00,0.00,0,0
CSM,0,0,0.00,0,0.00,0.00,0,0
DFHY,0,0,0.00,0,0.00,0.00,0,0
DHDG,0,0,0.00,0,0.00,0.00,0,0
DMAR,0,0,0.00,0,0.00,0.00,0,0
EAOM,0,0,0.00,0,0.00,0.00,0,0
EAOR,0,0,0.00,2,28.83,0.00,0,0
EMDV,0,2,45.00,0,0.00,0.00,0,0
EQLT,0,0,0.00,0,0.00,0.00,0,0
FAIL,0,225,16.65,0,0.00,0.00,0,0
FAPR,0,0,0.00,0,0.00,0.00,0,0
FBUF,0,0,0.00,0,0.00,0.00,0,0
FDTB,0,0,0.00,0,0.00,0.00,0,0
FEBP,0,0,0.00,0,0.00,0.00,0,0
FEBZ,0,0,0.00,0,0.00,0.00,0,0
FFDI,0,0,0.00,0,0.00,0.00,0,0
FFGX,0,0,0.00,0,0.00,0.00,0,0
FHEQ,0,0,0.00,0,0.00,0.00,0,0
FLDZ,0,0,0.00,0,0.00,0.00,0,0
FPAS,0,0,0.00,0,0.00,0.00,0,0
FYEE,0,0,0.00,0,0.00,0.00,0,0
GCLN,0,0,0.00,0,0.00,0.00,0,0
GDEC,0,0,0.00,0,0.00,0.00,0,0
GHMS,0,0,0.00,0,0.00,0.00,0,0
GHTA,0,0,0.00,0,0.00,0.00,0,0
GLBL,0,0,0.00,0,0.00,0.00,0,0
GMAR,0,0,0.00,0,0.00,0.00,0,0
GSID,0,0,0.00,0,0.00,0.00,0,0
HEAT,0,0,0.00,0,0.00,0.00,0,0
HJAN,0,0,0.00,0,0.00,0.00,0,0
HYKE,0,0,0.00,0,0.00,0.00,0,0
IPAV,0,0,0.00,0,0.00,0.00,0,0
IPPP,0,0,0.00,0,0.00,0.00,0,0
ISDB,0,0,0.00,0,0.00,0.00,0,0
JAJL,0,0,0.00,0,0.00,0.00,0,0
JANH,0,0,0.00,0,0.00,0.00,0,0
JANP,0,0,0.00,0,0.00,0.00,0,0
JNEU,0,0,0.00,0,0.00,0.00,0,0
JULM,0,0,0.00,0,0.00,0.00,0,0
JULP,0,0,0.00,0,0.00,0.00,0,0
JULQ,0,0,0.00,0,0.00,0.00,0,0
JULU,0,0,0.00,0,0.00,0.00,0,0
JUNM,0,0,0.00,0,0.00,0.00,0,0
JUNP,0,0,0.00,0,0.00,0.00,0,0
JUNZ,0,0,0.00,0,0.00,0.00,0,0
KHPI,0,0,0.00,0,0.00,0.00,0,0
KJUL,0,0,0.00,0,0.00,0.00,0,0
KJUN,0,0,0.00,0,0.00,0.00,0,0
KNOW,0,0,0.00,0,0.00,0.00,0,0
LCF,0,0,0.00,0,0.00,0.00,0,0
LFAE,0,0,0.00,0,0.00,0.00,0,0
LFAF,0,0,0.00,0,0.00,0.00,0,0
LFAI,0,0,0.00,0,0.00,0.00,0,0
LFAJ,0,0,0.00,0,0.00,0.00,0,0
LFAK,0,0,0.00,0,0.00,0.00,0,0
LFAL,0,0,0.00,0,0.00,0.00,0,0
LFAN,0,0,0.00,0,0.00,0.00,0,0
LFAO,0,0,0.00,0,0.00,0.00,0,0
LFAQ,0,0,0.00,0,0.00,0.00,0,0
LFAR,0,0,0.00,0,0.00,0.00,0,0
LFAU,0,0,0.00,0,0.00,0.00,0,0
LFAV,0,0,0.00,0,0.00,0.00,0,0
LFAW,0,0,0.00,0,0.00,0.00,0,0
LFAX,0,0,0.00,0,0.00,0.00,0,0
LFAZ,0,0,0.00,0,0.00,0.00,0,0
LFBB,0,0,0.00,0,0.00,0.00,0,0
LIAB,0,0,0.00,0,0.00,0.00,0,0
LIAC,0,0,0.00,0,0.00,0.00,0,0
LIAE,0,0,0.00,0,0.00,0.00,0,0
LIAF,0,0,0.00,0,0.00,0.00,0,0
LIAG,0,0,0.00,0,0.00,0.00,0,0
LIAJ,0,0,0.00,0,0.00,0.00,0,0
LIAK,0,0,0.00,0,0.00,0.00,0,0
LIAM,0,0,0.00,0,0.00,0.00,0,0
LIAO,0,0,0.00,0,0.00,0.00,0,0
LIAP,0,0,0.00,0,0.00,0.00,0,0
LIAQ,0,0,0.00,0,0.00,0.00,0,0
LIAT,0,0,0.00,0,0.00,0.00,0,0
LIAU,0,0,0.00,0,0.00,0.00,0,0
LIAV,0,0,0.00,0,0.00,0.00,0,0
LIAW,0,0,0.00,0,0.00,0.00,0,0
LJAN,0,0,0.00,0,0.00,0.00,0,0
LJUL,0,0,0.00,0,0.00,0.00,0,0
LYLD,0,0,0.00,0,0.00,0.00,0,0
MARM,0,0,0.00,0,0.00,0.00,0,0
MAYP,0,0,0.00,0,0.00,0.00,0,0
MAYU,0,0,0.00,0,0.00,0.00,0,0
MAYZ,0,0,0.00,0,0.00,0.00,0,0
MBND,0,0,0.00,0,0.00,0.00,0,0
MBNE,0,0,0.00,0,0.00,0.00,0,0
MDEV,0,0,0.00,0,0.00,0.00,0,0
MDLV,0,0,0.00,0,0.00,0.00,0,0
MDPL,0,0,0.00,0,0.00,0.00,0,0
MINN,0,0,0.00,0,0.00,0.00,0,0
MRCP,0,0,0.00,0,0.00,0.00,0,0
MRGR,0,0,0.00,3,41.00,0.00,0,0
MSTQ,0,0,0.00,0,0.00,0.00,0,0
MSVX,0,0,0.00,0,0.00,0.00,0,0
MVFD,0,0,0.00,0,0.00,0.00,0,0
MVFG,0,0,0.00,0,0.00,0.00,0,0
NAUG,0,0,0.00,0,0.00,0.00,0,0
NDOW,0,0,0.00,0,0.00,0.00,0,0
NJUN,0,0,0.00,0,0.00,0.00,0,0
NOCT,0,0,0.00,0,0.00,0.00,0,0
NOVP,0,0,0.00,0,0.00,0.00,0,0
NXTI,0,0,0.00,0,0.00,0.00,0,0
NXTV,0,0,0.00,0,0.00,0.00,0,0
OCTP,0,0,0.00,0,0.00,0.00,0,0
OCTZ,0,0,0.00,0,0.00,0.00,0,0
OVLH,0,0,0.00,0,0.00,0.00,0,0
PBAP,0,0,0.00,0,0.00,0.00,0,0
PBAU,0,0,0.00,0,0.00,0.00,0,0
PBFB,0,0,0.00,0,0.00,0.00,0,0
PBFR,0,0,0.00,0,0.00,0.00,0,0
PBJA,0,0,0.00,0,0.00,0.00,0,0
PBJL,0,0,0.00,0,0.00,0.00,0,0
PBJN,0,0,0.00,0,0.00,0.00,0,0
PBL,0,0,0.00,0,0.00,0.00,0,0
PBMR,0,0,0.00,0,0.00,0.00,0,0
PBMY,0,0,0.00,0,0.00,0.00,0,0
PBNV,0,0,0.00,0,0.00,0.00,0,0
PBOC,0,0,0.00,0,0.00,0.00,0,0
PBSE,0,0,0.00,0,0.00,0.00,0,0
PJBF,0,0,0.00,0,0.00,0.00,0,0
PJFM,0,0,0.00,0,0.00,0.00,0,0
PSCJ,0,0,0.00,0,0.00,0.00,0,0
PSCQ,0,0,0.00,0,0.00,0.00,0,0
PSH,0,0,0.00,0,0.00,0.00,0,0
PTEU,0,0,0.00,0,0.00,0.00,0,0
PUTD,0,0,0.00,3,22.41,0.00,0,0
QMMY,0,0,0.00,0,0.00,0.00,0,0
QTAP,0,0,0.00,0,0.00,0.00,0,0
QTJA,0,0,0.00,0,0.00,0.00,0,0
QTOC,0,0,0.00,0,0.00,0.00,0,0
RODE,0,0,0.00,6,25.00,0.00,0,0
ROIS,0,0,0.00,0,0.00,0.00,0,0
RSEE,0,0,0.00,0,0.00,0.00,0,0
RTRE,0,0,0.00,0,0.00,0.00,0,0
RVRB,0,0,0.00,0,0.00,0.00,0,0
SCLZ,0,0,0.00,0,0.00,0.00,0,0
SELV,0,0,0.00,0,0.00,0.00,0,0
SEPM,0,0,0.00,0,0.00,0.00,0,0
SEPP,0,0,0.00,0,0.00,0.00,0,0
SEPU,0,0,0.00,0,0.00,0.00,0,0
SHDG,0,0,0.00,0,0.00,0.00,0,0
SHEH,0,0,0.00,0,0.00,0.00,0,0
SMI,0,0,0.00,0,0.00,0.00,0,0
SPCZ,0,0,0.00,0,0.00,0.00,0,0
SPIN,0,0,0.00,0,0.00,0.00,0,0
SPMV,0,0,0.00,0,0.00,0.00,0,0
TRSY,0,0,0.00,0,0.00,0.00,0,0
TSEP,0,0,0.00,0,0.00,0.00,0,0
UXOC,0,0,0.00,0,0.00,0.00,0,0
VMAX,0,0,0.00,0,0.00,0.00,0,0
VWID,0,0,0.00,1,25.00,0.00,0,0
WDNA,0,100,24.00,0,0.00,0.00,0,0
WEIX,0,0,0.00,0,0.00,0.00,0,0
WLDR,0,0,0.00,0,0.00,0.00,0,0
XAPR,0,0,0.00,0,0.00,0.00,0,0
XBJL,0,0,0.00,0,0.00,0.00,0,0
XDSQ,0,0,0.00,0,0.00,0.00,0,0
XFEB,0,0,0.00,0,0.00,0.00,0,0
XIDE,0,0,0.00,0,0.00,0.00,0,0
XJUN,0,0,0.00,0,0.00,0.00,0,0
XMAR,0,0,0.00,0,0.00,0.00,0,0
XMAY,0,0,0.00,0,0.00,0.00,0,0
XOCT,0,0,0.00,0,0.00,0.00,0,0
XTAP,0,0,0.00,0,0.00,0.00,0,0
XTJA,0,0,0.00,0,0.00,0.00,0,0
XTJL,0,0,0.00,0,0.00,0.00,0,0
XTOC,0,0,0.00,0,0.00,0.00,0,0
YJUN,0,0,0.00,0,0.00,0.00,0,0
ZAUG,0,0,0.00,0,0.00,0.00,0,0
ZJUL,0,0,0.00,0,0.00,0.00,0,0
ZNOV,0,0,0.00,0,0.00,0.00,0,0
ZOCT,0,0,0.00,0,0.00,0.00,0,0